Targeted Security,Equivalent Security,Equivalent Rank
iShares International Select Dividend ETF (IDV),DFA International Value Portfolio III (DFVIX),1
iShares International Select Dividend ETF (IDV),iShares MSCI International Value Factor ETF (IVLU),2
iShares International Select Dividend ETF (IDV),Vanguard International High Dividend Yield ETF (VYMI),3
iShares MSCI International Momentum Factor ETF (IMTM),AQR International Momentum Style Fund (AIMOX),1
iShares MSCI International Momentum Factor ETF (IMTM),Invesco S&P International Developed Momentum ETF (IDMO),2
iShares MSCI USA Momentum Factor ETF (MTUM),AQR Large Cap Momentum Style Fund (AMOMX),1
iShares MSCI USA Momentum Factor ETF (MTUM),Invesco S&P 500 Momentum ETF (SPMO),2
iShares National Muni Bond ETF (MUB),Dimensional National Municipal Bond ETF (DFNM),1
iShares National Muni Bond ETF (MUB),DFA Intermediate-Term Municipal Bond Portfolio (DFTIX),2
iShares National Muni Bond ETF (MUB),DFA Selective State Municipal Bond Portfolio (DSSMX),3
iShares National Muni Bond ETF (MUB),State Street SPDR Nuveen ICE Municipal Bond ETF (TFI),4
iShares National Muni Bond ETF (MUB),Vanguard Short-Term Tax-Exempt Bond ETF (VTES),5
iShares National Muni Bond ETF (MUB),Vanguard Intermediate-Term Tax-Exempt Fund (VWIUX),6
Nuveen ESG Small-Cap ETF (NUSC),DFA US Sustainability Targeted Value Portfolio (DAABX),1
Invesco California AMT-Free Municipal Bond ETF (PWZ),iShares California Muni Bond ETF (CMF),1
Schwab US TIPS ETF (SCHP),Dimensional Inflation-Protected Securities ETF (DFIP),1
Schwab US TIPS ETF (SCHP),DFA Inflation Protected Securities Portfolio (DIPSX),2
VanEck Short High Yield Muni ETF (SHYD),VanEck High Yield Muni ETF (HYD),1
VanEck Short High Yield Muni ETF (SHYD),Nuveen High Yield Municipal Bond Fund (NHMRX),2
iShares 0-5 Year High Yield Corporate Bond ETF (SHYG),State Street SPDR Bloomberg Short Term High Yield Bond ETF (SJNK),1
iShares 0-5 Year High Yield Corporate Bond ETF (SHYG),Vanguard High-Yield Corporate Fund (VWEAX),2
SCHW Prime Advantage Money Fund (SNAXX),Schwab Government Money Fund (SGUXX),1
Fidelity Money Market Fund (SPRXX),Fidelity Treasury Only Money Market Fund (FDLXX),1
iShares 0-5 Year TIPS Bond ETF (STIP),Dimensional Inflation-Protected Securities ETF (DFIP),1
iShares 0-5 Year TIPS Bond ETF (STIP),DFA Inflation Protected Securities Portfolio (DIPSX),2
iShares Short-Term National Muni Bond ETF (SUB),Dimensional National Municipal Bond ETF (DFNM),1
iShares Short-Term National Muni Bond ETF (SUB),DFA Short-Term Municipal Bond Portfolio (DFSMX),2
iShares Short-Term National Muni Bond ETF (SUB),DFA Intermediate-Term Municipal Bond Portfolio (DFTIX),3
iShares Short-Term National Muni Bond ETF (SUB),State Street SPDR Nuveen ICE Municipal Bond ETF (TFI),4
iShares Short-Term National Muni Bond ETF (SUB),Vanguard Limited-Term Tax-Exempt Fund (VMLUX),5
iShares Short-Term National Muni Bond ETF (SUB),Vanguard Short-Term Tax-Exempt Bond ETF (VTES),6
iShares Short-Term National Muni Bond ETF (SUB),Vanguard Ultra-Short-Term Tax - Exempt Fund (VWSUX),7
iShares ESG Optimized MSCI USA ETF (SUSA),DFA US Sustainability Core 1 Portfolio (DFSIX),1
iShares ESG Optimized MSCI USA ETF (SUSA),Nuveen ESG Large-Cap Value ETF (NULV),2
iShares ESG Optimized MSCI USA ETF (SUSA),iShares ESG MSCI USA Leaders ETF (SUSL),3
Schwab California Municipal Money Fund (SWKXX),Schwab Government Money Fund (SNVXX),1
SCHW Prime Advantage Money Fund (SWVXX),Schwab Government Money Fund (SNVXX),1
iShares Broad USD High Yield Corporate Bond ETF (USHY),State Street SPDR Bloomberg High Yield Bond ETF (JNK),1
iShares Broad USD High Yield Corporate Bond ETF (USHY),Vanguard High-Yield Corporate Fund (VWEAX),2
Vanguard Small-Cap ETF (VB),DFA US Small Cap Portfolio (DFSTX),1
